x, y
4.065285315,0.368986633
4.51383397,0.368986633
5.226147614,0.381713877
5.742365558,0.388241188
6.648555136,0.415486387
7.382132298,0.422591208
8.370032506,0.444643545
9.196790817,0.45998038
10.64811535,0.475846835
11.8229893,0.500677596
13.54622701,0.535813129
15.04086796,0.583219722
17.23310781,0.634820659
18.73817899,0.69098704
21.24578115,0.752122797
23.10130329,0.8186676
26.46836945,0.906337837
29.08280905,0.969940969
33.32171954,1.073810909
36.61310563,1.149166626
41.94954693,1.250840271
46.09315528,1.361509592
51.7173631,1.48197049
56.82579723,1.585969199
64.43040449,1.78583329
71.53941875,1.943836644
80.26860013,2.188800663
87.27887114,2.382456951
97.92848943,2.728570419
107.6014737,2.969983366
123.2847254,3.4596173
132.6561284,3.765710337
148.8426018,4.240268497
163.5446783,4.694354313
183.5001197,5.376330644
199.5262912,5.952079989
223.8721474,6.702166393
245.9853421,7.546774471
273.1264615,8.497825689
300.1048002,9.407854834
333.2172619,10.77458898
362.3188447,11.92842818
402.2957757,13.66134077
442.0329422,15.12432892
490.8052341,17.617727
539.2850106,20.17717038
598.7877386,22.71990061
651.0834813,26.0205704
715.3943304,29.29968683
777.8740296,32.99205938
863.7017938,37.78500897
949.0148001,43.27428641
1031.897159,50.40848874
1133.82383,57.73162498
1245.81841,67.2493088
1340.518433,77.01900956
1472.929479,89.71642768
1601.569289,101.0225715
1741.442599,117.6771608
1893.533278,137.0775156
2037.468898,159.6761258
2215.413338,186.000465
2383.816448,216.6646568
2565.020603,252.3840094
2789.039314,293.9922476
3001.046205,348.3161243
3297.48017,412.6779649
3548.13584,480.7122428
3817.844927,569.5382333
4065.28775,663.4325667
4374.307781,772.8063627
4706.817755,915.605494
5117.892522,1084.791043
5449.594254,1263.63019
5863.841385,1497.123731
6243.879711,1743.940797
6789.195363,2101.517912
7229.217863,2489.836314
7778.741848,2900.312805
8282.899005,3378.459699
8912.517833,4071.179412
9490.142317,4742.35591
10000,5431.305715
